N,P,K,temperature,humidity,pH,rainfall,label,category
63.51,52.97,109.68,13.61,57.54,6.36,51.51,Carrot,Vegetables
89.48,43.49,69.73,20.13,65.46,6.17,76.05,Swiss Chard,Vegetables
70.3,45.93,71.78,15.71,62.4,6.45,63.29,Lettuce,Vegetables
79.91,40.26,44.5,24.87,79.55,6.6,183.76,Jute,Cash Crops
98.91,76.37,106.36,25.94,70.55,6.35,85.87,Tomato,Vegetables
59.84,39.34,33.59,20.96,56.57,6.32,83.36,Coriander,Spices & Herbs
67.76,30.04,41.5,32.59,51.13,6.28,43.75,Sorghum,Cereals & Grains
48.61,28.29,65.26,36.91,55.36,6.32,59.88,Fig,Fruits
70.11,51.65,93.26,15.35,56.75,6.33,55.64,Carrot,Vegetables
37.54,53.19,63.56,27.83,67.84,6.67,97.46,Soybean,Pulses & Legumes
75.88,41.84,103.61,27.89,78.93,5.92,159.13,Colocasia,Vegetables
57.39,50.46,81.24,26.6,64.14,6.63,112.82,Mandarin,Fruits
77.22,40.52,35.84,21.94,92.52,4.93,252.93,Tea,Cash Crops
72.57,49.05,92.91,20.08,82.33,6.27,138.05,Passion Fruit,Fruits
78.69,46.59,60.53,30.06,68.39,6.57,100.19,Muskmelon,Fruits
79.01,49.32,94.28,23.6,59.13,6.33,121.86,Grapefruit,Fruits
26.82,43.23,45.26,22.28,64.41,6.24,65.88,Lima Bean,Pulses & Legumes
68.05,52.54,78.46,24.5,78.59,6.55,142.88,Ginger,Cash Crops
92.15,63.68,57.73,23.63,63.37,6.98,81.06,Hemp,Fiber Crops
54.57,38.92,37.7,18.91,44.8,6.87,63.68,Flax,Fiber Crops
60.93,38.23,38.01,22.73,59.36,6.66,63.87,Coriander,Spices & Herbs
85.64,52.92,80.19,28.17,73.19,6.67,70.67,Cucumber,Vegetables
68.67,39.3,71.0,15.17,61.37,6.54,72.05,Endive,Vegetables
63.38,40.75,73.02,16.05,66.94,6.74,44.29,Turnip,Vegetables
94.89,55.44,85.25,10.93,63.21,6.95,45.37,Kale,Vegetables
90.73,49.93,79.46,12.75,71.16,6.53,55.5,Celery,Spices & Herbs
54.87,41.82,36.91,26.45,66.58,6.39,94.35,Cashew,Plantation Crops
85.04,50.36,60.32,18.32,63.14,7.01,61.77,Spinach,Vegetables
81.76,57.35,76.88,23.69,78.5,6.01,147.24,Turmeric,Cash Crops
33.21,44.44,50.47,20.82,54.7,6.69,63.47,Chickpea,Pulses & Legumes
27.7,47.53,61.06,16.31,66.17,7.77,54.54,Berseem,Fodder Crops
52.72,38.68,95.05,22.76,60.87,6.8,94.06,Lemon,Fruits
66.7,44.45,85.39,23.36,77.84,6.32,206.27,Mangosteen,Fruits
68.97,52.82,74.15,21.62,75.84,6.52,146.1,Passion Fruit,Fruits
68.94,56.52,96.79,13.31,56.81,6.67,63.2,Carrot,Vegetables
83.83,50.18,57.07,22.23,66.01,7.03,63.74,Zucchini,Vegetables
67.36,49.53,110.32,28.42,82.85,6.08,196.39,Arecanut,Plantation Crops
71.78,43.04,124.57,32.03,83.35,6.84,161.83,Coconut,Fruits
52.56,29.03,36.33,20.6,53.73,7.66,52.14,Fennel,Spices & Herbs
123.91,63.28,202.96,29.27,84.9,6.09,167.16,Oil Palm,Plantation Crops
72.23,46.66,82.57,15.47,62.56,6.22,115.51,Apple,Fruits
64.16,42.82,66.63,26.93,83.96,6.09,215.07,Black Pepper,Cash Crops
29.22,55.8,62.07,17.2,70.8,7.8,59.61,Berseem,Fodder Crops
63.66,43.17,40.87,21.15,51.91,6.95,72.74,Safflower,Oilseeds
64.89,45.51,93.81,16.02,67.68,6.65,62.21,Parsnip,Vegetables
88.27,53.38,70.5,28.8,65.53,7.01,72.29,Okra,Vegetables
54.92,44.36,61.96,30.71,72.88,6.43,88.64,Bitter Gourd,Vegetables
86.52,43.38,74.62,18.74,63.35,6.31,79.87,Swiss Chard,Vegetables
26.77,45.01,58.26,15.52,69.86,8.01,69.19,Berseem,Fodder Crops
61.9,39.34,80.18,10.02,71.19,5.91,85.96,Raspberry,Fruits
59.41,32.78,34.91,23.74,59.0,6.72,74.83,Coriander,Spices & Herbs
117.87,108.16,120.72,15.95,72.32,5.72,88.8,Potato,Vegetables
60.8,32.89,36.33,35.29,46.11,6.48,45.5,Millet,Cereals & Grains
30.57,29.69,41.6,34.72,53.05,7.72,40.47,Cluster Bean,Vegetables
98.25,61.49,60.28,25.9,52.88,6.61,69.8,Cotton,Cash Crops
68.61,45.59,74.45,11.96,66.18,7.06,139.34,Pear,Fruits
64.81,48.67,68.81,26.59,81.55,6.35,134.9,Jackfruit,Fruits
59.32,47.35,53.31,24.46,54.15,7.05,66.32,Pomegranate,Fruits
79.08,49.5,74.19,25.27,56.25,6.3,62.95,Tobacco,Cash Crops
74.46,46.04,89.63,16.8,58.86,6.46,128.53,Apple,Fruits
74.14,46.89,69.69,29.81,62.51,6.94,94.36,Muskmelon,Fruits
62.29,44.09,68.82,30.14,77.88,6.61,76.0,Bitter Gourd,Vegetables
71.28,54.15,108.07,15.68,73.66,6.94,108.86,Kiwi,Fruits
76.7,45.4,83.52,22.35,68.87,6.68,159.06,Passion Fruit,Fruits
98.48,49.76,74.86,13.9,71.67,6.44,79.09,Celery,Spices & Herbs
73.78,50.88,73.26,11.97,63.46,6.54,76.14,Peach,Fruits
75.84,39.66,45.41,21.7,90.37,4.85,190.47,Tea,Cash Crops
81.79,43.58,40.94,9.7,60.43,6.13,72.93,Oats,Cereals & Grains
79.85,32.15,84.7,21.79,77.65,6.32,128.34,Coffee,Cash Crops
76.65,50.58,55.52,16.97,60.11,6.93,55.41,Spinach,Vegetables
42.45,35.87,38.09,22.75,58.51,7.18,66.94,Fennel,Spices & Herbs
69.78,47.14,88.49,27.31,65.81,6.15,118.71,Longan,Fruits
75.17,47.38,55.16,12.45,58.14,7.52,88.08,Cherry,Fruits
48.83,33.51,57.14,30.6,56.66,6.96,64.38,Fig,Fruits
50.71,39.75,63.26,26.78,80.81,6.4,220.48,Black Pepper,Cash Crops
114.16,49.95,86.38,15.69,60.09,7.08,68.97,Artichoke,Vegetables
100.82,54.77,79.38,14.19,76.73,6.75,54.7,Celery,Spices & Herbs
92.12,61.13,73.21,21.12,63.98,5.76,91.48,Brinjal,Vegetables
67.2,57.84,72.25,9.69,55.64,7.04,121.68,Pear,Fruits
25.22,47.68,41.68,13.17,49.15,6.38,51.63,Field Pea,Pulses & Legumes
36.53,34.48,31.61,20.05,45.32,8.04,39.38,Cumin,Spices & Herbs
117.27,42.84,77.76,26.59,70.59,5.61,121.23,Napier Grass,Fodder Crops
113.38,39.92,75.13,30.8,71.64,6.76,110.71,Napier Grass,Fodder Crops
79.0,43.88,103.0,29.7,79.28,6.65,158.32,Taro,Vegetables
27.09,48.12,69.26,22.78,56.24,7.19,58.03,Alfalfa,Fodder Crops
28.53,55.5,43.65,14.31,64.39,6.81,74.79,Peas,Pulses & Legumes
104.24,58.98,65.58,22.54,61.65,5.84,84.81,Brinjal,Vegetables
46.36,33.34,43.68,28.24,64.08,6.36,101.23,Cashew,Plantation Crops
43.11,32.48,67.64,14.69,69.19,4.32,81.23,Blueberry,Fruits
34.81,38.05,45.66,32.05,50.23,7.39,52.84,Cluster Bean,Vegetables
52.4,33.2,33.88,32.82,48.14,6.55,40.69,Millet,Cereals & Grains
74.57,38.91,75.58,22.93,65.14,7.14,91.08,Orange,Fruits
56.1,39.34,103.89,26.93,72.06,6.49,91.55,Sweet Potato,Vegetables
50.76,47.76,66.52,14.59,64.46,6.31,55.36,Lettuce,Vegetables
84.66,59.53,87.66,27.57,75.3,6.06,120.98,Ginger,Cash Crops
28.41,49.03,62.53,14.15,67.56,7.91,61.63,Berseem,Fodder Crops
82.39,53.63,81.28,28.09,72.69,7.18,67.65,Cucumber,Vegetables
24.63,53.59,49.25,15.98,53.61,6.95,59.52,Faba Bean,Pulses & Legumes
79.94,40.57,40.1,10.83,58.41,5.05,61.9,Rye,Cereals & Grains
55.58,26.44,44.06,26.26,39.25,7.04,59.19,Olive,Fruits
53.99,47.72,54.34,28.15,84.77,6.23,193.66,Black Pepper,Cash Crops
67.89,41.46,134.69,32.11,88.33,6.49,131.89,Coconut,Fruits
87.84,43.22,98.19,13.31,70.61,7.02,59.38,Celery Root,Vegetables
36.68,31.54,61.1,13.19,69.21,4.04,87.07,Blueberry,Fruits
55.05,36.69,59.38,12.53,76.04,6.64,66.38,Gooseberry,Fruits
49.19,28.55,41.82,27.84,76.11,5.95,199.98,Nutmeg,Cash Crops
40.39,29.78,46.84,23.33,78.3,6.38,204.46,Clove,Cash Crops
43.93,34.46,70.56,16.54,66.52,4.3,80.74,Blueberry,Fruits
83.77,50.22,71.61,22.21,59.55,6.51,122.92,Grapefruit,Fruits
59.8,39.71,91.59,24.39,61.09,6.45,91.28,Lemon,Fruits
35.82,49.58,61.03,21.08,54.2,7.2,45.59,Alfalfa,Fodder Crops
94.2,56.3,79.55,29.28,74.39,6.97,56.44,Cucumber,Vegetables
84.82,59.74,79.34,27.16,72.93,6.56,62.77,Cucumber,Vegetables
119.97,109.75,112.81,15.97,74.72,5.64,74.59,Potato,Vegetables
78.54,51.07,43.87,15.91,58.16,6.79,71.92,Mustard,Oilseeds
59.41,36.1,71.67,13.61,60.95,6.58,55.26,Turnip,Vegetables
49.83,32.9,44.44,28.79,64.16,6.74,100.22,Cashew,Plantation Crops
22.19,29.61,32.6,30.76,47.86,6.71,34.78,Moth Bean,Pulses & Legumes
25.24,43.52,42.89,34.79,55.87,6.62,49.77,Cowpea,Pulses & Legumes
59.05,35.01,89.17,26.16,68.29,6.27,82.5,Sweet Potato,Vegetables
66.32,50.91,99.54,23.92,70.56,6.03,140.76,Pineapple,Fruits
39.23,36.45,42.55,27.94,77.51,6.45,209.9,Clove,Cash Crops
76.71,50.39,51.68,20.56,67.42,6.7,54.8,Spinach,Vegetables
26.84,58.76,66.69,26.58,68.55,6.48,96.93,Peanut,Pulses & Legumes
73.07,52.52,95.0,24.53,70.63,5.22,132.91,Pineapple,Fruits
104.37,63.06,89.54,18.48,56.66,6.91,79.04,Asparagus,Vegetables
144.08,74.12,84.22,22.45,51.87,6.54,82.94,Maize,Cereals & Grains
82.07,42.31,87.01,25.49,66.59,6.37,120.39,Grapefruit,Fruits
66.18,51.93,71.6,27.58,77.51,6.44,156.12,Litchi,Fruits
56.52,49.89,76.65,22.71,80.0,6.49,157.44,Jackfruit,Fruits
60.23,54.24,83.41,11.74,59.66,6.46,85.48,Plum,Fruits
42.38,35.36,42.79,20.08,57.18,6.91,44.23,Fenugreek,Spices & Herbs
60.17,43.8,79.55,15.01,73.74,5.91,79.88,Raspberry,Fruits
66.9,40.86,42.6,16.97,42.83,6.5,69.36,Linseed,Oilseeds
39.07,51.49,72.16,28.34,72.4,6.48,88.58,Soybean,Pulses & Legumes
50.83,36.77,38.29,21.0,59.81,6.39,82.64,Coriander,Spices & Herbs
64.88,41.13,79.78,12.8,75.05,5.84,83.39,Raspberry,Fruits
92.06,69.67,109.24,26.13,73.75,6.35,87.69,Tomato,Vegetables
90.77,51.57,67.24,28.66,65.53,6.66,62.71,Okra,Vegetables
63.12,38.98,46.55,15.05,45.45,6.74,42.16,Linseed,Oilseeds
88.08,51.68,97.76,15.57,68.94,6.58,62.69,Celery Root,Vegetables
90.17,73.73,111.44,12.34,59.06,6.37,71.98,Brussels Sprouts,Vegetables
78.15,52.67,82.61,26.62,77.68,6.33,135.03,Turmeric,Cash Crops
81.76,57.33,73.77,29.53,80.89,5.95,150.25,Ginger,Cash Crops
73.18,56.38,59.26,19.28,65.15,6.79,62.75,Spinach,Vegetables
48.03,24.07,29.22,27.4,45.33,5.9,31.79,Sesame,Oilseeds
80.93,39.63,43.74,11.7,59.74,6.03,58.04,Rye,Cereals & Grains
94.53,80.61,100.53,26.59,63.78,6.23,95.09,Tomato,Vegetables
73.24,44.87,76.69,27.44,78.53,6.56,203.32,Jackfruit,Fruits
67.55,49.0,87.5,14.31,74.63,5.99,93.32,Raspberry,Fruits
95.5,51.52,72.6,16.53,67.78,7.0,94.77,Swiss Chard,Vegetables
93.69,47.92,43.29,25.44,69.36,7.29,101.98,Kenaf,Fiber Crops
69.77,51.25,90.1,24.32,70.17,6.16,114.02,Longan,Fruits
52.94,34.47,37.06,18.69,41.83,7.04,58.3,Flax,Fiber Crops
80.16,47.54,97.31,27.72,79.26,6.8,134.78,Yam,Vegetables
68.24,59.46,80.55,22.31,61.82,6.93,66.01,Garlic,Vegetables
84.55,46.35,58.81,16.7,66.89,6.84,61.47,Spinach,Vegetables
67.79,37.67,69.14,14.02,67.9,6.76,71.41,Endive,Vegetables
43.68,30.76,50.77,17.99,57.97,6.23,56.28,Dill,Spices & Herbs
84.57,46.19,37.11,11.85,48.2,6.76,72.2,Barley,Cereals & Grains
50.49,38.34,57.36,36.59,51.01,6.48,77.06,Fig,Fruits
47.52,39.22,52.81,25.94,85.8,6.41,190.87,Vanilla,Cash Crops
76.79,40.81,45.6,13.94,55.52,6.84,67.53,Mustard,Oilseeds
96.69,40.13,50.25,18.19,50.7,6.96,84.79,Wheat,Cereals & Grains
72.89,40.46,77.22,27.2,78.78,6.51,176.36,Rambutan,Fruits
87.86,52.91,72.14,30.62,66.9,6.89,58.12,Okra,Vegetables
60.81,35.44,84.86,14.56,62.04,6.87,60.31,Turnip,Vegetables
26.54,37.59,41.16,33.97,47.42,8.13,41.97,Cluster Bean,Vegetables
66.31,32.59,63.7,28.39,72.41,6.63,72.45,Bottle Gourd,Vegetables
53.69,44.35,52.63,24.07,57.81,6.51,99.91,Castor,Oilseeds
63.18,41.9,70.77,24.13,68.64,6.66,83.43,Pumpkin,Vegetables
99.2,58.15,50.15,11.44,49.35,6.78,68.82,Canola,Oilseeds
92.81,45.39,39.41,24.34,68.3,6.59,96.38,Kenaf,Fiber Crops
61.26,43.93,88.04,24.06,67.15,6.38,94.41,Lemon,Fruits
96.93,60.64,80.06,25.9,60.37,6.58,83.11,Chilli,Spices & Herbs
59.21,33.94,93.35,22.78,62.15,6.97,105.38,Lemon,Fruits
74.78,42.59,41.04,13.52,47.12,6.76,78.94,Barley,Cereals & Grains
71.18,48.83,87.97,25.7,84.53,6.73,145.47,Ginger,Cash Crops
82.86,68.54,76.06,23.58,63.3,6.83,88.31,Capsicum,Vegetables
24.24,35.13,39.22,31.48,53.46,6.17,62.96,Cowpea,Pulses & Legumes
108.08,73.83,72.58,23.03,65.21,5.79,77.19,Brinjal,Vegetables
52.98,36.92,92.61,28.23,72.07,6.21,80.95,Sweet Potato,Vegetables
97.81,65.29,57.93,25.26,48.06,6.78,49.88,Cotton,Cash Crops
69.72,41.74,86.14,12.17,63.51,6.45,56.4,Parsnip,Vegetables
96.51,44.34,52.06,18.87,48.18,6.77,76.67,Wheat,Cereals & Grains
122.52,63.08,190.5,26.99,81.51,6.08,187.98,Oil Palm,Plantation Crops
71.19,36.63,123.54,30.82,90.17,6.7,192.94,Coconut,Fruits
79.34,35.99,46.17,19.78,91.74,5.02,178.73,Tea,Cash Crops
51.05,30.68,34.15,26.34,66.36,6.23,101.53,Cashew,Plantation Crops
33.26,49.41,57.35,17.37,53.15,7.02,49.26,Alfalfa,Fodder Crops
33.05,54.17,51.55,13.55,60.35,6.43,60.7,Peas,Pulses & Legumes
67.4,31.92,32.3,34.37,50.38,6.42,37.35,Millet,Cereals & Grains
47.06,36.62,48.14,24.73,83.94,5.84,182.9,Vanilla,Cash Crops
48.69,31.19,48.66,24.01,85.21,5.96,176.98,Vanilla,Cash Crops
74.7,48.66,45.41,27.96,76.53,6.76,213.02,Jute,Cash Crops
67.02,58.61,64.83,20.82,65.41,6.88,57.08,Garlic,Vegetables
49.11,31.56,40.48,28.88,77.9,5.76,173.86,Nutmeg,Cash Crops
103.83,59.34,80.41,12.4,66.69,7.06,50.05,Kale,Vegetables
63.02,48.8,42.1,24.79,51.64,6.47,50.4,Safflower,Oilseeds
63.57,34.28,77.17,14.65,61.91,6.68,40.4,Turnip,Vegetables
59.34,47.41,77.3,25.83,77.12,6.42,162.4,Jackfruit,Fruits
69.65,48.23,74.96,16.0,63.08,6.05,84.58,Peach,Fruits
76.22,56.15,65.66,22.77,60.98,7.24,66.94,Zucchini,Vegetables
95.41,56.71,57.02,25.26,57.51,7.13,82.48,Hemp,Fiber Crops
124.69,65.55,72.6,20.29,57.54,6.51,86.84,Sweet Corn,Vegetables
71.74,48.08,78.29,28.26,69.25,6.87,98.66,Mandarin,Fruits
87.6,50.3,76.64,17.76,66.75,6.18,88.49,Peach,Fruits
26.72,44.93,34.78,23.54,68.19,7.1,100.45,Pigeon Pea,Pulses & Legumes
64.39,42.49,51.07,27.16,56.45,6.46,88.93,Castor,Oilseeds
127.32,52.24,131.98,32.17,75.74,6.37,159.14,Banana,Fruits
103.66,63.7,98.84,14.83,66.89,6.48,69.8,Broccoli,Vegetables
130.3,66.76,198.07,24.03,83.8,6.1,219.82,Oil Palm,Plantation Crops
67.26,42.2,67.9,13.64,63.04,6.76,83.63,Cherry,Fruits
100.94,70.0,97.32,13.88,65.62,6.7,71.25,Cabbage,Vegetables
57.61,42.45,69.84,15.19,61.55,6.55,56.41,Lettuce,Vegetables
56.45,53.15,65.4,29.32,75.73,6.32,80.74,Bitter Gourd,Vegetables
38.24,29.36,39.51,31.07,76.15,6.17,185.37,Cinnamon,Cash Crops
68.44,58.69,70.65,11.93,73.76,5.96,70.46,Strawberry,Fruits
62.7,43.28,71.14,31.36,70.82,6.44,91.23,Ridgegourd,Vegetables
63.71,43.21,71.66,9.71,57.66,7.05,75.97,Cherry,Fruits
60.97,35.33,67.22,24.79,51.26,6.31,78.9,Watermelon,Fruits
72.27,43.07,40.64,13.89,49.38,6.77,67.21,Barley,Cereals & Grains
72.03,37.63,76.09,13.38,65.12,6.72,67.92,Endive,Vegetables
72.84,44.85,93.9,18.44,58.08,6.44,60.3,Leek,Vegetables
91.6,58.84,83.53,25.7,68.46,6.88,128.04,Papaya,Fruits
76.47,52.59,79.6,27.07,60.56,6.43,81.59,Mango,Fruits
89.29,52.1,56.52,24.6,58.08,7.06,70.97,Hemp,Fiber Crops
86.87,39.66,105.58,30.27,79.4,6.39,175.14,Colocasia,Vegetables
80.74,47.67,79.75,23.61,62.34,6.22,75.84,Tobacco,Cash Crops
75.63,60.06,74.29,22.48,63.83,6.94,68.18,Zucchini,Vegetables
103.9,59.44,102.54,15.68,65.46,7.12,58.28,Broccoli,Vegetables
73.35,49.35,60.82,30.56,69.66,6.76,75.7,Guava,Fruits
53.15,34.7,50.65,25.92,82.43,6.0,181.98,Vanilla,Cash Crops
92.44,71.21,60.69,22.64,52.3,6.58,87.58,Sunflower,Oilseeds
81.72,48.59,90.72,24.66,60.56,6.6,62.33,Tobacco,Cash Crops
78.65,44.31,55.72,32.85,64.98,6.65,67.58,Guava,Fruits
78.15,42.95,72.65,15.04,65.51,6.61,123.47,Apple,Fruits
112.14,63.71,93.16,17.22,58.98,6.69,81.01,Cauliflower,Vegetables
38.23,31.06,52.57,25.46,76.21,6.8,242.12,Clove,Cash Crops
60.23,37.66,91.02,27.08,67.13,6.5,78.07,Sweet Potato,Vegetables
32.86,54.86,65.47,33.0,66.14,6.26,86.3,Peanut,Pulses & Legumes
80.78,52.15,80.05,22.13,60.82,6.21,121.34,Grapefruit,Fruits
68.96,47.94,66.66,18.77,72.76,6.63,76.31,Mint,Spices & Herbs
69.29,55.21,73.26,16.65,53.09,7.41,73.82,Apricot,Fruits
71.23,54.41,86.65,29.84,71.98,5.85,108.28,Longan,Fruits
82.71,42.99,41.72,26.6,75.52,7.8,212.34,Jute,Cash Crops
65.88,55.46,90.56,12.87,58.97,6.56,56.08,Carrot,Vegetables
112.74,54.89,128.95,29.57,77.69,5.63,119.12,Banana,Fruits
56.26,41.46,61.68,14.96,66.5,6.58,54.12,Radish,Vegetables
64.93,43.98,91.48,15.45,58.02,6.64,60.61,Parsnip,Vegetables
52.55,26.93,35.91,28.35,61.66,6.49,99.75,Cashew,Plantation Crops
28.01,61.86,67.8,25.5,62.65,6.56,86.8,Peanut,Pulses & Legumes
29.34,49.35,41.4,18.24,51.85,6.29,57.33,Lentil,Pulses & Legumes
37.96,31.7,73.93,15.78,67.56,4.46,72.83,Blueberry,Fruits
72.0,64.03,83.22,18.7,69.24,6.48,64.09,Leek,Vegetables
25.89,37.2,44.43,34.15,49.94,6.46,71.07,Cowpea,Pulses & Legumes
71.92,62.94,72.99,18.25,61.92,6.5,58.5,Leek,Vegetables
68.78,51.23,75.55,11.36,60.5,6.88,104.61,Pear,Fruits
144.36,58.71,115.63,34.68,72.27,7.22,128.27,Sugarcane,Cash Crops
80.08,45.7,95.64,29.57,79.29,6.22,163.2,Colocasia,Vegetables
62.43,46.35,72.15,30.34,71.23,6.43,92.69,Ridgegourd,Vegetables
19.43,54.46,47.19,24.52,61.88,6.08,90.83,Runner Bean,Pulses & Legumes
58.91,53.7,102.6,11.56,55.39,6.18,63.75,Carrot,Vegetables
84.46,52.1,133.31,18.41,65.72,6.99,82.1,Kiwi,Fruits
52.25,33.94,32.24,36.5,44.84,6.45,44.16,Millet,Cereals & Grains
82.55,62.31,69.05,18.04,62.3,6.57,60.04,Onion,Vegetables
31.86,50.27,71.06,21.03,50.51,7.28,49.73,Alfalfa,Fodder Crops
50.84,34.37,23.52,15.58,49.99,6.93,50.95,Quinoa,Cereals & Grains
111.97,51.33,91.99,17.17,59.86,7.14,74.23,Artichoke,Vegetables
21.45,32.63,33.37,28.59,48.8,6.41,42.62,Moth Bean,Pulses & Legumes
76.57,47.17,74.59,20.86,82.46,6.17,158.83,Coffee,Cash Crops
35.9,25.66,33.84,29.79,39.74,6.23,49.01,Sesame,Oilseeds
51.57,40.62,35.9,29.36,62.28,6.61,77.49,Dragon Fruit,Fruits
42.95,27.0,32.92,26.89,39.2,6.19,44.17,Sesame,Oilseeds
49.41,41.79,54.91,24.82,81.55,5.82,177.58,Vanilla,Cash Crops
34.95,26.13,67.98,14.96,69.27,4.45,77.8,Blueberry,Fruits
47.67,31.89,29.09,24.11,67.34,6.98,92.07,Niger Seed,Oilseeds
73.14,51.06,82.98,24.19,84.88,6.6,127.14,Passion Fruit,Fruits
40.18,36.42,46.28,28.14,74.6,6.42,207.29,Clove,Cash Crops
42.18,23.58,29.38,19.51,51.09,6.39,51.71,Teff,Cereals & Grains
59.6,41.59,72.34,25.12,51.37,6.54,68.38,Watermelon,Fruits
71.68,42.65,44.38,8.93,57.41,5.95,79.57,Oats,Cereals & Grains
44.61,41.88,47.81,15.99,66.52,6.75,72.23,Gooseberry,Fruits
85.51,65.34,64.78,21.49,55.35,6.47,78.37,Sunflower,Oilseeds
91.1,69.37,94.35,16.08,62.8,6.39,66.16,Cabbage,Vegetables
78.81,49.49,75.71,23.31,59.12,6.38,65.54,Tobacco,Cash Crops
58.67,48.23,65.23,17.34,63.03,6.39,47.13,Lettuce,Vegetables
62.14,40.76,72.95,26.54,80.56,6.86,186.55,Litchi,Fruits
75.31,41.49,79.83,22.98,59.39,6.29,68.55,Tobacco,Cash Crops
63.69,42.13,82.65,13.19,74.71,5.89,82.87,Raspberry,Fruits
66.77,44.55,61.07,12.83,58.76,6.7,76.26,Cherry,Fruits
45.96,33.58,56.86,28.63,59.37,6.42,87.93,Fig,Fruits
54.33,40.95,64.16,22.72,71.63,6.87,84.94,Persimmon,Fruits
25.48,52.89,46.48,17.95,51.29,6.27,45.55,Lentil,Pulses & Legumes
91.48,66.56,88.25,12.84,67.05,6.41,70.87,Cabbage,Vegetables
37.51,30.42,33.04,18.38,44.43,8.01,41.26,Cumin,Spices & Herbs
45.93,26.55,68.22,34.0,39.32,8.34,27.78,Date Palm,Plantation Crops
74.96,49.26,75.18,28.66,77.91,6.66,169.33,Rambutan,Fruits
23.97,43.85,52.38,20.8,51.9,6.8,67.66,Chickpea,Pulses & Legumes
70.6,40.76,81.3,13.35,74.03,5.88,82.58,Raspberry,Fruits
30.86,37.42,36.59,19.56,58.6,6.42,51.64,Fenugreek,Spices & Herbs
61.42,48.35,77.51,12.25,60.78,6.44,110.97,Plum,Fruits
42.28,33.32,57.33,35.64,49.6,7.3,44.39,Sisal,Fiber Crops
61.63,32.91,36.46,20.17,63.14,6.85,61.41,Amaranth,Cereals & Grains
21.62,53.63,65.8,33.3,71.36,6.37,93.37,Peanut,Pulses & Legumes
26.59,29.9,36.74,28.52,41.62,7.83,49.85,Neem,Plantation Crops
74.42,50.49,92.5,26.31,70.69,6.28,148.78,Longan,Fruits
86.51,46.39,94.78,18.56,64.77,6.43,59.1,Celery Root,Vegetables
60.46,35.6,66.36,26.44,51.41,6.69,71.29,Watermelon,Fruits
97.75,68.37,88.96,15.75,68.0,6.22,74.72,Cabbage,Vegetables
67.4,39.88,63.24,27.74,73.41,6.42,72.73,Bottle Gourd,Vegetables
91.68,56.46,74.29,11.24,65.65,7.01,35.08,Kale,Vegetables
70.93,50.27,110.6,17.53,65.41,7.33,57.98,Beetroot,Vegetables
95.44,56.38,51.6,13.89,52.12,7.42,69.59,Canola,Oilseeds
42.96,22.02,31.2,29.61,48.88,6.7,44.59,Sesame,Oilseeds
68.49,43.33,93.5,15.51,63.7,7.04,61.92,Parsnip,Vegetables
42.12,29.59,47.77,25.95,76.06,6.84,245.47,Clove,Cash Crops
68.09,55.5,85.98,23.66,58.78,6.54,80.4,Mango,Fruits
78.04,41.46,38.23,13.7,48.49,6.73,63.21,Barley,Cereals & Grains
90.53,44.09,39.86,27.12,69.31,6.85,110.6,Kenaf,Fiber Crops
64.4,42.27,94.88,29.66,64.48,6.01,85.64,Sweet Potato,Vegetables
