N,P,K,temperature,humidity,pH,rainfall,label,category
80.36,53.62,81.57,18.91,68.85,6.24,86.02,Swiss Chard,Vegetables
74.82,31.85,110.05,18.78,75.63,5.68,88.44,Leek,Vegetables
31.39,54.07,43.49,31.38,58.58,6.15,85.7,Chickpea,Pulses & Legumes
68.26,29.56,76.18,18.39,67.5,6.69,38.66,Endive,Vegetables
113.6,65.94,93.43,17.54,75.21,7.26,51.04,Cabbage,Vegetables
92.71,56.18,98.46,20.09,62.97,6.91,76.91,Cabbage,Vegetables
84.65,39.03,53.86,25.12,66.21,6.71,82.19,Wheat,Cereals & Grains
46.03,49.51,50.43,18.03,42.79,6.15,113.55,Castor,Oilseeds
108.22,39.66,92.93,21.47,82.93,5.58,139.28,Coffee,Cash Crops
64.6,30.71,73.56,25.22,88.36,5.84,117.02,Cashew,Plantation Crops
90.47,45.36,50.6,13.93,55.46,7.85,106.75,Cherry,Fruits
78.28,52.1,79.24,24.5,66.44,7.32,147.52,Papaya,Fruits
71.76,45.99,102.04,9.38,58.5,6.33,47.69,Carrot,Vegetables
45.95,35.98,34.75,16.25,37.04,7.36,54.64,Cumin,Spices & Herbs
87.97,56.24,62.05,35.84,51.72,6.34,88.25,Sunflower,Oilseeds
32.2,21.44,23.82,30.66,46.48,7.31,32.99,Sesame,Oilseeds
56.7,30.32,95.92,14.26,71.95,5.37,74.04,Raspberry,Fruits
66.15,37.41,48.27,31.57,80.97,7.02,295.13,Jute,Cash Crops
63.48,32.69,28.91,23.23,47.9,6.22,30.89,Teff,Cereals & Grains
33.2,41.57,59.45,16.42,44.4,6.33,93.14,Lentil,Pulses & Legumes
78.25,47.44,41.15,16.41,53.12,6.16,81.1,Cherry,Fruits
87.51,40.88,70.76,14.77,73.08,6.09,88.23,Raspberry,Fruits
76.26,35.08,81.61,19.84,53.57,6.9,82.32,Grapes,Fruits
56.92,52.12,67.71,24.81,42.06,4.67,71.78,Watermelon,Fruits
68.9,58.73,109.45,18.49,52.8,6.33,50.48,Carrot,Vegetables
41.3,41.65,49.37,28.2,47.03,7.48,31.38,Cluster Bean,Vegetables
75.32,57.33,86.53,26.92,64.26,7.58,140.49,Orange,Fruits
80.79,42.47,52.58,25.97,53.0,6.64,63.11,Castor,Oilseeds
65.42,56.8,73.01,26.83,75.13,6.56,94.8,Bitter Gourd,Vegetables
60.19,37.7,115.48,10.67,61.1,6.48,65.22,Turnip,Vegetables
78.72,28.55,76.67,28.07,68.65,7.18,71.22,Orange,Fruits
94.06,42.09,40.36,12.7,59.05,7.59,68.11,Canola,Oilseeds
67.91,50.05,41.25,20.8,78.0,5.18,100.32,Tea,Cash Crops
63.88,33.46,36.62,28.61,61.56,7.92,36.9,Sorghum,Cereals & Grains
22.57,53.37,43.43,18.14,47.91,5.97,50.16,Lentil,Pulses & Legumes
46.7,30.76,45.64,22.79,71.54,7.68,216.3,Clove,Cash Crops
80.75,60.58,102.37,17.23,65.8,7.92,78.8,Cabbage,Vegetables
40.28,29.94,46.5,21.36,77.11,6.54,193.14,Clove,Cash Crops
31.57,28.53,44.57,29.86,44.93,6.72,101.89,Tamarind,Plantation Crops
52.78,23.64,26.74,26.68,68.43,6.65,43.73,Dill,Spices & Herbs
28.71,25.99,53.28,17.29,61.11,4.36,90.29,Blueberry,Fruits
42.48,59.1,58.27,27.3,71.47,5.51,146.21,Vanilla,Cash Crops
38.8,44.29,33.69,30.14,83.5,5.76,188.11,Cinnamon,Cash Crops
93.13,40.94,41.92,14.58,54.62,4.95,84.93,Oats,Cereals & Grains
24.21,51.64,49.24,22.91,63.65,6.75,73.71,Faba Bean,Pulses & Legumes
49.55,26.59,59.77,28.53,53.63,5.93,52.38,Sisal,Fiber Crops
36.62,26.59,55.82,18.45,29.64,6.82,57.31,Tamarind,Plantation Crops
62.33,31.92,46.71,22.95,76.33,6.67,223.73,Clove,Cash Crops
79.55,39.85,69.28,25.22,83.91,5.84,232.2,Turmeric,Cash Crops
106.23,37.31,53.61,12.62,67.94,5.85,34.81,Swiss Chard,Vegetables
63.87,20.12,34.61,30.84,45.28,5.97,32.11,Millet,Cereals & Grains
104.2,34.0,46.18,15.03,70.73,7.6,35.2,Triticale,Cereals & Grains
119.78,73.24,51.15,19.86,46.83,6.1,65.71,Cotton,Cash Crops
24.98,28.47,36.55,33.44,54.04,7.37,38.13,Neem,Plantation Crops
63.04,58.76,88.25,27.89,66.36,6.59,80.29,Longan,Fruits
56.78,35.16,74.55,29.54,73.61,7.23,59.54,Bitter Gourd,Vegetables
53.08,44.27,70.97,25.81,83.58,6.2,266.34,Black Pepper,Cash Crops
53.26,36.07,37.6,33.49,61.72,5.22,68.65,Moringa,Plantation Crops
57.55,14.17,53.34,31.12,64.85,4.65,28.83,Moringa,Plantation Crops
55.65,50.9,70.52,29.72,70.66,7.23,89.82,Bitter Gourd,Vegetables
52.55,39.9,39.64,20.85,79.01,5.55,173.81,Nutmeg,Cash Crops
42.51,28.86,27.35,30.43,67.05,5.2,161.4,Cinnamon,Cash Crops
64.99,53.87,85.9,6.46,64.82,7.03,76.69,Cherry,Fruits
83.92,36.52,43.81,10.35,48.7,6.79,49.84,Barley,Cereals & Grains
45.34,29.97,68.72,23.86,83.95,6.97,113.11,Cashew,Plantation Crops
47.48,24.99,32.9,28.1,52.95,6.49,88.06,Cashew,Plantation Crops
58.98,50.61,26.88,20.08,40.71,7.21,62.76,Flax,Fiber Crops
55.06,33.86,52.0,21.77,52.25,5.51,59.29,Tobacco,Cash Crops
52.58,43.73,32.07,15.93,41.89,6.2,80.67,Flax,Fiber Crops
73.7,27.78,42.75,8.1,59.06,7.06,47.75,Rye,Cereals & Grains
20.11,40.16,28.68,7.69,53.12,6.44,49.31,Field Pea,Pulses & Legumes
111.69,44.78,55.67,9.46,47.25,7.3,87.86,Canola,Oilseeds
53.75,39.76,85.95,23.34,46.82,6.56,78.22,Watermelon,Fruits
70.58,26.82,39.6,26.56,64.64,8.09,64.48,Amaranth,Cereals & Grains
69.39,24.79,52.44,35.95,46.22,6.19,80.52,Sisal,Fiber Crops
39.09,43.91,60.51,8.19,72.68,7.56,61.72,Gooseberry,Fruits
76.84,37.78,39.48,17.51,100.0,4.92,74.86,Tea,Cash Crops
74.61,58.16,71.62,23.95,82.14,7.03,172.36,Jackfruit,Fruits
43.66,37.84,36.0,20.34,37.93,8.02,60.62,Ajwain,Spices & Herbs
70.53,41.28,65.87,5.44,76.77,6.18,51.88,Strawberry,Fruits
94.69,87.08,90.94,15.93,54.65,6.77,83.46,Cabbage,Vegetables
83.91,51.17,86.01,29.84,73.98,5.2,201.97,Mangosteen,Fruits
54.98,43.51,43.2,36.38,77.64,5.19,229.61,Nutmeg,Cash Crops
137.52,87.69,83.5,28.9,55.42,6.64,76.75,Maize,Cereals & Grains
103.85,26.13,86.75,29.53,62.13,6.36,165.95,Napier Grass,Fodder Crops
69.33,35.79,15.7,15.35,65.85,8.45,43.76,Quinoa,Cereals & Grains
61.65,39.66,22.25,39.28,53.93,5.98,53.28,Millet,Cereals & Grains
74.94,48.55,80.07,16.19,79.09,6.26,82.55,Raspberry,Fruits
58.08,44.11,38.7,5.0,55.08,6.9,74.59,Barley,Cereals & Grains
120.82,49.73,156.79,28.71,65.48,5.78,162.78,Banana,Fruits
70.97,38.65,42.75,20.09,69.25,6.47,60.65,Triticale,Cereals & Grains
48.79,34.27,46.04,24.86,48.45,6.35,75.54,Tamarind,Plantation Crops
84.75,86.19,100.79,17.2,56.84,7.2,62.2,Broccoli,Vegetables
57.86,45.83,50.5,31.88,80.07,6.09,184.01,Black Pepper,Cash Crops
56.94,35.98,64.2,20.04,80.36,7.1,193.27,Vanilla,Cash Crops
106.5,59.09,88.53,15.09,60.86,7.92,68.77,Asparagus,Vegetables
32.94,22.55,55.79,17.31,71.18,5.89,63.83,Gooseberry,Fruits
96.65,40.24,47.78,27.66,83.07,5.91,140.13,Rice,Cereals & Grains
31.14,36.83,28.84,25.29,48.73,7.31,44.09,Lentil,Pulses & Legumes
74.43,41.16,78.18,27.83,56.02,6.54,131.24,Napier Grass,Fodder Crops
48.85,31.07,78.49,17.64,57.86,5.97,93.19,Grapes,Fruits
84.09,61.75,90.52,17.09,70.79,5.38,72.11,Swiss Chard,Vegetables
69.83,22.26,39.76,23.65,43.42,5.92,96.91,Castor,Oilseeds
70.68,64.73,100.68,26.64,64.31,6.52,139.4,Papaya,Fruits
49.09,44.93,76.42,32.1,72.59,6.12,96.9,Bitter Gourd,Vegetables
50.58,41.87,62.72,16.8,80.61,6.67,72.54,Gooseberry,Fruits
86.33,27.2,81.93,29.81,82.79,6.15,213.62,Colocasia,Vegetables
132.2,52.86,125.56,36.92,81.01,6.13,149.45,Sugarcane,Cash Crops
26.76,45.76,41.17,41.57,59.71,7.5,85.19,Tamarind,Plantation Crops
94.81,40.3,29.09,19.34,52.03,7.39,80.87,Barley,Cereals & Grains
29.26,32.68,34.59,39.03,35.46,6.44,50.74,Moth Bean,Pulses & Legumes
17.39,46.59,64.72,10.09,57.46,6.75,83.59,Lima Bean,Pulses & Legumes
69.13,37.46,76.29,27.4,83.82,6.25,142.36,Colocasia,Vegetables
62.61,54.4,83.96,19.27,56.28,6.49,84.39,Zucchini,Vegetables
53.68,56.66,74.38,14.43,68.3,6.76,140.28,Pear,Fruits
53.12,58.9,67.73,20.22,64.98,7.43,37.52,Onion,Vegetables
35.03,55.11,48.44,19.14,63.06,7.43,56.65,Faba Bean,Pulses & Legumes
78.79,74.75,44.31,19.21,54.95,6.84,71.98,Mustard,Oilseeds
89.8,43.69,70.18,31.3,73.26,7.01,59.18,Okra,Vegetables
75.27,29.75,41.34,21.08,65.4,7.33,111.7,Mulberry,Fruits
68.26,53.0,64.41,20.55,86.51,5.44,279.5,Cocoa,Plantation Crops
85.61,67.1,77.11,17.04,60.92,6.94,91.18,Peach,Fruits
42.05,34.09,31.93,33.82,45.87,8.53,35.71,Cluster Bean,Vegetables
111.76,25.08,70.08,29.48,73.59,8.03,70.23,Napier Grass,Fodder Crops
62.22,48.75,63.73,22.91,53.18,6.49,67.45,Pumpkin,Vegetables
57.87,57.65,95.07,29.83,72.26,5.52,152.42,Mandarin,Fruits
24.57,51.06,63.28,21.25,61.55,7.94,73.27,Berseem,Fodder Crops
83.83,43.36,100.8,15.84,63.83,6.63,77.25,Parsnip,Vegetables
36.24,31.27,33.04,21.2,57.8,6.32,50.92,Dill,Spices & Herbs
100.48,64.3,94.07,18.19,62.34,7.72,57.81,Asparagus,Vegetables
58.16,47.44,97.21,19.03,81.15,7.42,89.38,Garlic,Vegetables
10.0,31.81,38.05,10.79,50.7,7.06,37.07,Field Pea,Pulses & Legumes
115.42,55.2,90.8,20.25,77.57,6.38,225.77,Coffee,Cash Crops
33.87,62.68,49.58,38.2,64.08,6.84,81.45,Castor,Oilseeds
87.99,52.06,63.64,17.96,66.33,7.3,63.25,Onion,Vegetables
72.23,58.59,83.7,29.34,70.64,6.56,67.0,Cucumber,Vegetables
60.43,78.65,86.69,29.31,79.83,6.94,56.46,Cucumber,Vegetables
64.37,47.94,47.77,12.03,47.22,6.69,5.0,Linseed,Oilseeds
40.08,33.41,52.16,14.86,76.38,7.55,102.0,Gooseberry,Fruits
80.01,64.62,101.02,20.08,64.61,7.43,45.38,Avocado,Fruits
89.12,45.43,101.09,28.79,74.6,5.5,87.04,Napier Grass,Fodder Crops
47.17,52.2,58.9,15.24,63.99,6.68,93.95,Cherry,Fruits
58.59,38.07,31.7,19.83,43.99,6.76,75.86,Flax,Fiber Crops
89.46,77.5,85.15,27.36,75.03,6.96,83.21,Capsicum,Vegetables
46.07,33.85,39.17,22.24,56.94,5.85,52.2,Fenugreek,Spices & Herbs
64.15,38.09,67.15,12.92,72.3,4.92,104.2,Plum,Fruits
28.42,30.0,44.11,35.05,70.78,6.35,56.17,Dragon Fruit,Fruits
29.87,25.28,59.28,21.79,84.5,5.78,66.7,Gooseberry,Fruits
89.21,67.97,103.28,13.31,55.17,6.95,48.74,Cauliflower,Vegetables
21.95,50.0,33.9,27.75,66.95,7.56,91.6,Pigeon Pea,Pulses & Legumes
52.29,47.4,64.17,16.53,57.59,5.47,65.31,Fig,Fruits
59.13,27.49,59.28,20.54,79.01,7.18,145.68,Clove,Cash Crops
16.62,57.99,44.58,14.85,65.18,6.38,101.67,Runner Bean,Pulses & Legumes
58.81,50.5,72.33,27.42,62.64,7.61,117.06,Orange,Fruits
71.66,50.68,38.27,26.81,56.81,7.27,65.31,Tobacco,Cash Crops
79.49,33.85,41.03,22.96,62.85,6.45,120.71,Kenaf,Fiber Crops
26.48,22.42,57.94,33.45,39.94,8.1,66.88,Neem,Plantation Crops
63.94,67.32,81.04,19.29,61.84,6.66,159.81,Passion Fruit,Fruits
27.81,36.09,40.18,22.28,48.91,7.65,65.39,Cowpea,Pulses & Legumes
38.56,48.89,36.55,27.27,60.94,7.21,92.45,Pigeon Pea,Pulses & Legumes
63.25,33.23,45.11,11.85,73.88,6.02,64.1,Gooseberry,Fruits
28.53,62.44,41.44,22.97,76.18,5.89,120.47,Black Gram,Pulses & Legumes
75.76,53.1,56.53,19.02,68.84,6.92,77.97,Pumpkin,Vegetables
55.92,25.25,79.01,24.62,91.93,6.43,244.74,Cardamom,Cash Crops
104.67,64.17,103.77,12.83,57.86,6.86,66.14,Brussels Sprouts,Vegetables
84.28,40.86,40.47,9.44,44.49,6.55,63.26,Barley,Cereals & Grains
114.9,76.13,79.43,25.14,64.48,5.0,78.49,Brinjal,Vegetables
77.11,35.35,30.68,12.61,50.28,6.99,87.83,Flax,Fiber Crops
69.92,75.33,60.11,20.34,64.23,7.39,80.56,Zucchini,Vegetables
55.39,51.83,44.89,13.71,73.34,7.48,52.88,Spinach,Vegetables
78.57,44.05,79.66,12.86,69.0,6.65,56.55,Celery,Spices & Herbs
30.63,58.56,71.19,27.16,67.34,6.57,103.05,Soybean,Pulses & Legumes
105.14,75.41,67.53,22.43,44.86,6.42,74.95,Sunflower,Oilseeds
38.45,33.08,44.18,24.94,68.65,6.19,244.97,Clove,Cash Crops
102.88,37.38,86.39,27.18,69.98,7.3,58.92,Pumpkin,Vegetables
63.33,46.33,50.9,19.0,51.82,6.23,73.07,Safflower,Oilseeds
68.34,39.66,83.68,26.3,66.55,5.12,193.23,Mangosteen,Fruits
91.22,46.37,61.71,23.09,61.82,6.34,60.0,Napier Grass,Fodder Crops
29.21,50.97,65.1,16.48,64.01,7.82,22.71,Berseem,Fodder Crops
67.92,29.15,65.68,26.13,50.14,6.52,115.3,Mulberry,Fruits
35.62,65.83,62.52,23.04,50.68,7.4,65.49,Pomegranate,Fruits
39.74,26.67,40.0,26.53,77.74,5.81,154.78,Cinnamon,Cash Crops
59.6,29.21,51.33,29.83,68.35,7.02,85.87,Basil,Spices & Herbs
35.42,46.93,30.18,22.63,65.04,6.55,78.92,Black Gram,Pulses & Legumes
106.31,70.4,107.65,13.59,60.21,6.53,62.57,Cauliflower,Vegetables
115.31,52.57,42.6,29.4,75.33,7.0,183.96,Rice,Cereals & Grains
47.54,34.18,40.08,27.76,80.39,6.31,320.0,Nutmeg,Cash Crops
86.77,51.37,94.63,13.96,71.62,6.49,36.79,Kohlrabi,Vegetables
80.8,29.37,44.75,20.97,57.6,7.12,70.94,Kenaf,Fiber Crops
69.92,47.45,71.62,23.53,61.1,7.68,65.13,Pumpkin,Vegetables
57.73,21.59,18.75,27.08,41.78,5.22,34.41,Sesame,Oilseeds
73.99,62.96,69.4,23.71,62.96,7.58,90.63,Zucchini,Vegetables
39.95,52.19,35.78,20.72,49.31,6.55,70.92,Coriander,Spices & Herbs
42.61,39.6,29.46,24.41,81.7,6.53,188.06,Black Pepper,Cash Crops
99.17,33.91,75.64,22.64,80.06,6.51,117.21,Coffee,Cash Crops
38.79,23.48,47.15,28.05,79.21,5.31,158.58,Nutmeg,Cash Crops
77.58,31.48,52.82,40.03,43.09,5.97,74.32,Sudan Grass,Fodder Crops
90.25,58.51,59.54,31.62,67.0,6.45,176.93,Rice,Cereals & Grains
41.4,27.03,26.73,28.71,26.22,6.98,39.85,Sesame,Oilseeds
55.24,71.58,71.91,18.62,55.13,6.87,48.96,Garlic,Vegetables
77.72,69.7,71.08,13.6,67.85,6.01,101.67,Celery,Spices & Herbs
27.86,45.76,63.98,28.61,60.35,6.24,102.89,Peanut,Pulses & Legumes
29.15,39.93,35.46,27.1,47.13,7.84,64.47,Cluster Bean,Vegetables
112.87,81.7,71.88,25.45,55.92,6.86,77.08,Sweet Corn,Vegetables
60.69,41.38,112.52,17.57,82.45,6.14,213.94,Cocoa,Plantation Crops
78.39,32.24,64.41,17.46,53.99,6.74,42.85,Grapes,Fruits
47.98,36.73,29.16,20.81,33.51,8.41,46.72,Ajwain,Spices & Herbs
42.48,44.39,73.76,36.49,68.62,6.3,230.8,Rubber,Cash Crops
87.77,61.5,105.07,29.57,64.75,6.92,64.36,Mango,Fruits
81.44,60.0,68.47,24.44,80.04,7.11,65.31,Turmeric,Cash Crops
98.63,57.37,57.0,29.22,79.04,6.99,200.49,Rice,Cereals & Grains
41.74,28.85,53.91,26.75,56.86,6.6,23.76,Millet,Cereals & Grains
68.0,45.58,38.5,5.0,41.84,6.98,57.84,Barley,Cereals & Grains
52.69,47.31,67.03,27.55,51.49,7.03,109.61,Watermelon,Fruits
50.39,18.51,46.81,14.73,55.11,4.83,97.09,Blueberry,Fruits
40.08,41.89,34.86,18.39,47.31,6.59,52.19,Dill,Spices & Herbs
26.97,54.52,63.26,21.98,74.27,6.37,109.04,Peanut,Pulses & Legumes
58.52,54.23,68.91,20.47,83.97,6.14,72.08,Coffee,Cash Crops
90.34,48.12,139.92,30.77,77.12,6.41,186.6,Coconut,Fruits
27.86,52.86,37.13,19.5,75.75,6.05,92.87,Black Gram,Pulses & Legumes
69.59,56.65,44.27,13.37,48.15,7.15,86.32,Mustard,Oilseeds
44.29,35.55,24.68,28.79,49.91,7.7,31.23,Cumin,Spices & Herbs
86.78,40.23,60.27,28.47,69.63,6.87,23.95,Okra,Vegetables
52.15,57.28,80.02,29.27,83.34,6.49,165.98,Jackfruit,Fruits
55.85,31.14,24.49,25.01,61.22,6.48,68.28,Amaranth,Cereals & Grains
114.75,55.4,120.8,30.46,70.35,5.93,176.73,Taro,Vegetables
52.75,24.24,94.75,31.0,69.67,6.43,108.43,Sweet Potato,Vegetables
91.31,44.38,49.94,22.78,54.65,6.62,77.96,Wheat,Cereals & Grains
65.51,37.68,93.59,19.4,70.32,7.15,102.39,Pineapple,Fruits
138.31,50.82,80.34,22.68,50.47,6.45,80.99,Sweet Corn,Vegetables
71.24,33.15,75.09,14.45,59.27,7.32,27.32,Turnip,Vegetables
49.99,35.76,60.19,25.4,86.35,6.02,291.35,Black Pepper,Cash Crops
63.42,24.97,91.83,31.31,69.92,5.82,96.65,Sweet Potato,Vegetables
76.49,48.69,92.32,15.96,68.81,6.74,100.24,Apple,Fruits
90.47,75.8,71.06,25.1,80.42,6.67,185.57,Turmeric,Cash Crops
41.34,26.23,58.26,21.05,73.48,6.38,249.79,Clove,Cash Crops
74.53,55.72,92.99,29.59,82.14,5.28,279.33,Arecanut,Plantation Crops
133.97,42.82,139.98,27.15,72.54,6.42,159.31,Banana,Fruits
73.2,57.6,93.25,31.29,73.04,7.31,61.5,Cucumber,Vegetables
72.89,72.97,94.77,16.97,57.36,7.98,27.01,Garlic,Vegetables
115.31,76.7,86.56,8.22,63.5,6.95,34.33,Cauliflower,Vegetables
54.09,41.28,14.99,18.81,65.53,6.57,94.88,Niger Seed,Oilseeds
64.27,39.8,88.7,41.24,69.78,5.9,127.64,Longan,Fruits
55.45,55.08,54.88,16.18,61.57,6.0,94.6,Plum,Fruits
51.92,29.66,17.81,24.68,59.54,5.85,81.85,Teff,Cereals & Grains
69.79,33.18,73.52,20.03,81.68,6.49,140.64,Litchi,Fruits
33.47,57.5,29.0,23.14,72.33,6.04,110.29,Black Gram,Pulses & Legumes
77.53,54.38,50.33,20.15,87.9,5.12,194.62,Tea,Cash Crops
28.78,66.71,47.63,13.95,72.66,8.13,67.72,Berseem,Fodder Crops
40.28,67.64,25.08,19.33,73.56,5.81,97.0,Black Gram,Pulses & Legumes
76.38,42.69,31.8,10.53,80.32,4.84,133.15,Tea,Cash Crops
61.53,60.4,61.16,30.91,77.8,6.58,192.59,Litchi,Fruits
37.63,38.2,40.94,20.83,61.84,6.89,50.25,Fenugreek,Spices & Herbs
40.82,52.3,52.44,21.1,83.73,6.12,144.36,Black Pepper,Cash Crops
41.18,31.28,64.26,18.76,79.94,6.53,206.21,Cardamom,Cash Crops
76.02,60.38,91.89,11.91,73.1,6.63,93.84,Cabbage,Vegetables
87.18,49.52,71.13,27.7,46.54,6.49,79.12,Apricot,Fruits
68.08,44.29,45.43,7.67,62.43,6.39,85.68,Cherry,Fruits
78.24,33.11,45.97,29.11,59.46,6.83,33.45,Sorghum,Cereals & Grains
81.67,39.7,97.58,11.48,70.1,6.59,129.77,Apple,Fruits
163.63,110.4,104.32,19.32,69.87,6.4,72.66,Potato,Vegetables
112.67,42.7,95.29,21.97,66.49,6.49,59.56,Cauliflower,Vegetables
82.86,50.46,51.97,10.42,70.43,6.44,64.15,Endive,Vegetables
60.41,33.72,50.42,27.81,87.73,6.84,164.37,Vanilla,Cash Crops
31.82,38.72,33.4,18.97,52.59,6.84,76.0,Lentil,Pulses & Legumes
77.15,49.24,99.15,14.4,56.95,5.99,107.04,Apple,Fruits
51.55,38.95,72.76,10.67,63.87,6.97,55.44,Parsnip,Vegetables
66.39,32.8,88.23,22.16,66.13,5.44,286.73,Mangosteen,Fruits
29.38,46.6,33.86,26.43,57.45,6.84,118.09,Pigeon Pea,Pulses & Legumes
